ID,N_RequisitoOriginal,Nombre_criterio,MunEst,Ley_Reglemento,Nombre,Artículo,Fracción y/o Inciso
108,Se realizara una inspección por parte del municipio a la ubicación proporcionada para validar o no la existencia de la infracción.,se realizara una inspección por parte del municipio a la ubicación proporcionada para validar o no la existencia de la infracción.,No disponible,No disponible,No disponible,No disponible,No disponible
109,Que se cuente con la información disponible para el periodo de consulta requerido,que se cuente con la información disponible para el periodo de consulta requerido,No disponible,No disponible,No disponible,No disponible,No disponible
110,cumplir con los requisitos,cumplir con los requisitos,No disponible,No disponible,No disponible,No disponible,No disponible
111,"La Secretaría de Seguridad Pública y Vialidad determinará la viabilidad de otorgamiento del permiso.

De ser autorizado, se deberá cubrir el costo del trámite correspondiente, así como proporcionar ruta y destino","la secretaría de seguridad pública y vialidad determinará la viabilidad de otorgamiento del permiso.

de ser autorizado, se deberá cubrir el costo del trámite correspondiente, así como proporcionar ruta y destino",No disponible,No disponible,No disponible,No disponible,No disponible
112,• Cualquier apoyo que requiera para la realización de su evento deberá dirigirla a la dependencia o área correspondiente.,cualquier apoyo que requiera para la realización de su evento deberá dirigirla a la dependencia o área correspondiente.,No disponible,No disponible,No disponible,No disponible,No disponible
113,"• En caso de ser autorizado el uso del espacio, queda a sujeto a cambios para disponibilidad de la Agenda de Eventos de esta Administración Municipal.","en caso de ser autorizado el uso del espacio, queda a sujeto a cambios para disponibilidad de la agenda de eventos de esta administración municipal.",No disponible,No disponible,No disponible,No disponible,No disponible
114,Permiso sujeto a la disponibilidad del espacio solicitado.,permiso sujeto a la disponibilidad del espacio solicitado.,No disponible,No disponible,No disponible,No disponible,No disponible
115,• Presentar solicitud cuando menos 10 días antes del evento.,presentar solicitud cuando menos 10 días antes del evento.,No disponible,No disponible,No disponible,No disponible,No disponible
116,"• Queda estrictamente prohibido.
- Eventos con fines de lucro
- La venta de cualquier producto y/o servicios
- El uso de unidades móviles personales en el área
- Eventos para celebraciones personales","queda estrictamente prohibido.
eventos con fines de lucro
la venta de cualquier producto y/o servicios
el uso de unidades móviles personales en el área
eventos para celebraciones personales",No disponible,No disponible,No disponible,No disponible,No disponible
117,• Debe ser dentro del municipio de Monterrey.,debe ser dentro del municipio de monterrey.,No disponible,No disponible,No disponible,No disponible,No disponible
118,• Deben ser de 15 a 25 personas a tomar el curso.,deben ser de 15 a 25 personas a tomar el curso.,No disponible,No disponible,No disponible,No disponible,No disponible
119,• Espacio amplio y suficiente para impartición de curso,espacio amplio y suficiente para impartición de curso,No disponible,No disponible,No disponible,No disponible,No disponible
120,• Infraestructura para proyecció,infraestructura para proyecció,No disponible,No disponible,No disponible,No disponible,No disponible
121,Contar con el pago del impuesto predial al corriente.,contar con el pago del impuesto predial al corriente.,No disponible,No disponible,No disponible,No disponible,No disponible
122,• No tener construcción omisa detectada.,no tener construcción omisa detectada.,No disponible,No disponible,No disponible,No disponible,No disponible
123,• Contar con tiempo libre una vez a la semana de lunes a viernes,contar con tiempo libre una vez a la semana de lunes a viernes,No disponible,No disponible,No disponible,No disponible,No disponible
124,• Disponibilidad de trasladarse a cualquier colonia del municipio de Monterrey,disponibilidad de trasladarse a cualquier colonia del municipio de monterrey,No disponible,No disponible,No disponible,No disponible,No disponible
125,• Tener espíritu de servicio,tener espíritu de servicio,No disponible,No disponible,No disponible,No disponible,No disponible
126,• Ser habitante de Monterrey,ser habitante de monterrey,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,
127,• Tener entre 3 años y 17 años 11 meses.,tener entre 3 años y 17 años 11 meses.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,
128,"Cumplimiento de requisitos que marca la Ley de Adquisiciones, Arrendamientos y Contrataciones de Servicios del Estado de Nuevo León y su Reglamento.","cumplimiento de requisitos que marca la ley de adquisiciones, arrendamientos y contrataciones de servicios del estado de nuevo león y su reglamento.",Estatal,Reglamento,"Reglamento de la ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Nuevo León",27,
129,"El cumplimiento de requisitos que marca la Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Nuevo León y su Reglamento.","el cumplimiento de requisitos que marca la ley de adquisiciones, arrendamientos y contratación de servicios del estado de nuevo león y su reglamento.",Estatal,Reglamento,"Reglamento de la ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Nuevo León",27,
130,• Es responsabilidad de cada interesado estar al pendiente de la información del sorteo.,es responsabilidad de cada interesado estar al pendiente de la información del sorteo.,Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,16,
131,"• La Dirección de Concertación Social apoya a recolectar los requisitos solicitados por la Secretaría de la Defensa Nacional (SEDENA) para la elaboración de la media cartilla, posteriormente en el mes de noviembre la SEDENA llevará acabo un sorteo donde se definirá si el interesado debe realizar el servicio militar para concluir con la obtención de su cartilla completa.","la dirección de concertación social apoya a recolectar los requisitos solicitados por la secretaría de la defensa nacional (sedena) para la elaboración de la media cartilla, posteriormente en el mes de noviembre la sedena llevará acabo un sorteo donde se definirá si el interesado debe realizar el servicio militar para concluir con la obtención de su cartilla completa.",Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,16,
132,• La información del sorteo será dada por la SEDENA en los medios que ellos consideren.,la información del sorteo será dada por la sedena en los medios que ellos consideren.,Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,16,
133,"• Cuando existan inconsistencias o irregularidades en la documentación o información presentadas, la Secretaría de Relaciones Exteriores, está facultada para verificar su autenticidad ante la autoridad emisora y podrá requerirle pruebas adicionales que demuestren su nacionalidad e identidad.","cuando existan inconsistencias o irregularidades en la documentación o información presentadas, la secretaría de relaciones exteriores, está facultada para verificar su autenticidad ante la autoridad emisora y podrá requerirle pruebas adicionales que demuestren su nacionalidad e identidad.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,9,
134,"• La verificación ante la autoridad emisora, está sujeta al tiempo de respuesta de cada autoridad, por lo que la expedición del pasaporte quedará sujeta al tiempo que ocupe este proceso.","la verificación ante la autoridad emisora, está sujeta al tiempo de respuesta de cada autoridad, por lo que la expedición del pasaporte quedará sujeta al tiempo que ocupe este proceso.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,9,
135,"• Todos los documentos que se entreguen para realizar el trámite de pasaporte, deberán ser legibles y encontrarse en buen estado sin mutilaciones, tachaduras, enmendaduras, deterioro o alteraciones que impidan tener certeza de su validez.","todos los documentos que se entreguen para realizar el trámite de pasaporte, deberán ser legibles y encontrarse en buen estado sin mutilaciones, tachaduras, enmendaduras, deterioro o alteraciones que impidan tener certeza de su validez.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,9,
136,• Debe existir disponibilidad de cupo,debe existir disponibilidad de cupo,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,129,"I, II, III, IV, VII, XIII, XIV, XV, XX, XXII, XXIII."
137,Es necesario que cumpla con los requisitos solicitados y respete los lineamientos internos de la unidad deportiva.,es necesario que cumpla con los requisitos solicitados y respete los lineamientos internos de la unidad deportiva.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,129,"I, II, III, IV, VII, XIII, XIV, XV, XX, XXII, XXIII."
138,• Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,138,
139,• Tener la edad establecida para recibir el servicio.,tener la edad establecida para recibir el servicio.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,138,
140,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,BIS I
141,Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",20,BIS I
142,"• El establecimiento se debe encontrar a una distancia mínima de 400 metros y contados a partir de los límites de los inmuebles donde se encuentran instaladas instituciones educativas, iglesias, templos, hospitales, clínicas y centros de salud, con excepción de abarrotes, tiendas de conveniencia, tiendas de supermercados, tiendas departamentales, restaurantes y establecimientos cuya actividad principal sea la preparación, expendió, venta y consumo de alimentos, centros o clubes sociales, centros de espectáculos deportivos o recreativos, hoteles y moteles.","el establecimiento se debe encontrar a una distancia mínima de 400 metros y contados a partir de los límites de los inmuebles donde se encuentran instaladas instituciones educativas, iglesias, templos, hospitales, clínicas y centros de salud, con excepción de abarrotes, tiendas de conveniencia, tiendas de supermercados, tiendas departamentales, restaurantes y establecimientos cuya actividad principal sea la preparación, expendió, venta y consumo de alimentos, centros o clubes sociales, centros de espectáculos deportivos o recreativos, hoteles y moteles.",Municipal,Reglamento,"Reglamento que Regula a los Establecimientos de Venta, Expendio o Consumo de Bebidas Alcohólicas en el Municipio de Monterrey, Nuevo León.",29,D
143,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento que Regula a los Establecimientos de Venta, Expendio o Consumo de Bebidas Alcohólicas en el Municipio de Monterrey, Nuevo León.",30,VIII
144,• Presentar la documentación completa.,presentar la documentación completa.,Municipal,Reglamento,"Reglamento que Regula a los Establecimientos de Venta, Expendio o Consumo de Bebidas Alcohólicas en el Municipio de Monterrey, Nuevo León.",30,
145,• El equipo de trabajo deberá estar disponible,el equipo de trabajo deberá estar disponible,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,129,XIII
146,La unidad deportiva deberá estar disponible,la unidad deportiva deberá estar disponible,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,129,XIII
147,Debe exista disponibilidad de cupo en la institución que realiza el curso.,debe exista disponibilidad de cupo en la institución que realiza el curso.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,
148,• Haber realizado el pago correspondiente a la institución educativa para el curso solicitado.,haber realizado el pago correspondiente a la institución educativa para el curso solicitado.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,
149,• Debe presentar una situación de vulnerabilidad.,debe presentar una situación de vulnerabilidad.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,XIV
150,• Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,XIV
151,• El Municipio de Monterrey no cobra por el apoyo al trámite.,el municipio de monterrey no cobra por el apoyo al trámite.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,131,X
152,• La Dirección de Vinculación interinstitucional lo apoya con el trámite y al finalizar un notario público será el encargado de elaborar el documento definitivo; los gastos y honorarios del notario son pagados por el interesado.,la dirección de vinculación interinstitucional lo apoya con el trámite y al finalizar un notario público será el encargado de elaborar el documento definitivo; los gastos y honorarios del notario son pagados por el interesado.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,131,X
153,Presentar solicitud completa.,presentar solicitud completa.,Municipal,Reglamento,"Reglamento Orgánico del Instituto Municipal de Planeación Urbana y Convivencia de Monterrey, Nuevo León.",8,VI
154,• Debe existir disponibilidad de cupo,debe existir disponibilidad de cupo,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,
155,Debe haber matriculas disponibles,debe haber matriculas disponibles,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,
156,Para cada construcción que tenga frente a la vía pública un solo número oficial.,para cada construcción que tenga frente a la vía pública un solo número oficial.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.","129, 150 y 151",
157,Por ningún motivo será otorgado cuando el lote se encuentre baldío,por ningún motivo será otorgado cuando el lote se encuentre baldío,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.","129, 150 y 153",
158,Sólo en los casos de autorización de uso múltiple se podrá otorgar más de un número oficial.,sólo en los casos de autorización de uso múltiple se podrá otorgar más de un número oficial.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.","129, 150 y 152",
159,Que el reporte sea referente a una persona adulta mayor,que el reporte sea referente a una persona adulta mayor,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,137,"IX, XII y XIII"
160,Que la persona a reportar habite en el municipio de Monterrey,que la persona a reportar habite en el municipio de monterrey,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,137,"IX, XII y XIII"
161,Que la persona a reportar se encuentre en una situación de riesgo,que la persona a reportar se encuentre en una situación de riesgo,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,137,"IX, XII y XIII"
162,"La autoridad iniciará la revisión para confirmar si existe o no la responsabilidad por parte de algún servidor público adscrito a la Secretaria de Seguridad y Protección a la Ciudadanía y si es necesario, realizar un informe de presunta responsabilidad.","la autoridad iniciará la revisión para confirmar si existe o no la responsabilidad por parte de algún servidor público adscrito a la secretaria de seguridad y protección a la ciudadanía y si es necesario, realizar un informe de presunta responsabilidad.",Municipal,Reglamento,Reglamento de la Comisión de Honor y Justicia de los Cuerpos de Seguridad Pública y Vialidad del Municipio de Monterrey.,15,VI
163,Constancia y exámenes de curso de manejo impartido por Instituciones autorizadas por el Municipio.,constancia y exámenes de curso de manejo impartido por instituciones autorizadas por el municipio.,Municipal,Reglamento,Reglamento de Tránsito y Vialidad del Municipio de Monterrey,112,
164,Constancia y exámenes de curso de manejo impartido por Instituciones autorizadas por el Municipio.,constancia y exámenes de curso de manejo impartido por instituciones autorizadas por el municipio.,Municipal,Reglamento,Reglamento de Tránsito y Vialidad del Municipio de Monterrey,112,
165,• El servicio se brinda dentro del municipio de Monterrey.,el servicio se brinda dentro del municipio de monterrey.,Municipal,Reglamento,Reglamento de Limpia para el Municipio de Monterrey.,5,
166,• La empresa debe contar con el servicio de disposición de los residuos.,la empresa debe contar con el servicio de disposición de los residuos.,Municipal,Reglamento,Reglamento de Limpia para el Municipio de Monterrey.,12,
167,Realizar el pago correspondiente en Tesorería del municipio.,realizar el pago correspondiente en tesorería del municipio.,Municipal,Reglamento,Reglamento de Limpia para el Municipio de Monterrey.,12,
168,Estar al corriente con los pagos de inscripción en el plantel.,estar al corriente con los pagos de inscripción en el plantel.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,127,X
169,• Mostrar el comprobante de domicilio de que reside en el municipio de Monterrey.,mostrar el comprobante de domicilio de que reside en el municipio de monterrey.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,127,X
170,• Alteraciones en la información proporcionada para el llenado de la carta.,alteraciones en la información proporcionada para el llenado de la carta.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
171,Criterios de rechazo:,criterios de rechazo:,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
172,• Deberá ser firmada por 2 testigos e incluir copia de la identificación oficial de los testigos.,deberá ser firmada por 2 testigos e incluir copia de la identificación oficial de los testigos.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
173,• Documentos ilegibles.,documentos ilegibles.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
174,• Otros criterios que pudiese establecer la secretaria de ayuntamiento.,otros criterios que pudiese establecer la secretaria de ayuntamiento.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
175,• Presentar la documentación completa.,presentar la documentación completa.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
176,Que la información de referencia sea clara y específica.,que la información de referencia sea clara y específica.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,21,II
177,"• Al recibir la documentación se realiza una validación de firmas, documentación y veracidad del contenido, si llegara existir alguna inconsistencia nos pondremos en contacto para solicitarle la aclaración y requisitos necesarios para proseguir con el trámite.","al recibir la documentación se realiza una validación de firmas, documentación y veracidad del contenido, si llegara existir alguna inconsistencia nos pondremos en contacto para solicitarle la aclaración y requisitos necesarios para proseguir con el trámite.",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
178,El trámite de certificación es personal,el trámite de certificación es personal,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
179,• Presentar la información y documentación completa.,presentar la información y documentación completa.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
180,• Todas las copias deben ser legibles (no fotos de celulares).,todas las copias deben ser legibles (no fotos de celulares).,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
181,• Acreditar la práctica de actividades asistenciales.,acreditar la práctica de actividades asistenciales.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,
182,Presentar toda la documentación requerida.,presentar toda la documentación requerida.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,
183,Presentar la solicitud debidamente llenada y firmada,presentar la solicitud debidamente llenada y firmada,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
184,Cumplir con todos los requisitos,cumplir con todos los requisitos,Municipal,Reglamento,Reglamento de Nomenclatura para la Vía Pública y Bienes del Dominio Público del Municipio de Monterrey.,7,ll
185,La descripción de la información solicitada,la descripción de la información solicitada,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,21,VIII y XIV
186,• Deben ser restos humanos o áridos.,deben ser restos humanos o áridos.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,19,
187,La programación de la cremación queda sujeta a la capacidad de trabajos del crematorio.,la programación de la cremación queda sujeta a la capacidad de trabajos del crematorio.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,21,VI
188,• Para brindar el servicio se programara de acuerdo a la disponibilidad y optima funcionalidad del crematorio.,para brindar el servicio se programara de acuerdo a la disponibilidad y optima funcionalidad del crematorio.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,21,VI
189,• Debe ser comprobable que existe maltrato o violencia hacia el menor de edad que se señale.,debe ser comprobable que existe maltrato o violencia hacia el menor de edad que se señale.,Municipal,Reglamento,"Reglamento del Sistema Municipal de Protección Integral de Niñas, Niños y Adolescentes de Monterrey, Nuevo León","55, 58, 60 y 61",
190,"• Cuando la demolición sea parcial el predio podrá estar habitado, siempre y cuando se adopten las medidas preventivas de seguridad. En cualquier caso, se deberán evitar daños de terceros y a las propiedades colindantes.","cuando la demolición sea parcial el predio podrá estar habitado, siempre y cuando se adopten las medidas preventivas de seguridad. en cualquier caso, se deberán evitar daños de terceros y a las propiedades colindantes.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
191,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
192,Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
193,"• Una vez terminados los trabajos de demolición, el Propietario, Poseedor o Director Responsable de Obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.","una vez terminados los trabajos de demolición, el propietario, poseedor o director responsable de obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
194,"• Cuando la demolición sea parcial el predio podrá estar habitado, siempre y cuando se adopten las medidas preventivas de seguridad. En cualquier caso, se deberán evitar daños de terceros y a las propiedades colindantes.","cuando la demolición sea parcial el predio podrá estar habitado, siempre y cuando se adopten las medidas preventivas de seguridad. en cualquier caso, se deberán evitar daños de terceros y a las propiedades colindantes.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
195,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
196,• Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
197,"• Una vez terminados los trabajos de demolición, el Propietario, Poseedor o Director Responsable de Obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.","una vez terminados los trabajos de demolición, el propietario, poseedor o director responsable de obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
198,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
199,• Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
200,"• Una vez terminados los trabajos de demolición, el Propietario, Poseedor o Director Responsable de Obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.","una vez terminados los trabajos de demolición, el propietario, poseedor o director responsable de obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
201,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
202,Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
203,"• Una vez terminados los trabajos de demolición, el Propietario, Poseedor o Director Responsable de Obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.","una vez terminados los trabajos de demolición, el propietario, poseedor o director responsable de obra tendrá un plazo de 15 días naturales para limpiar el terreno y desperdicios.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",92,
204,Presentar documentación completa,presentar documentación completa,Municipal,Reglamento,Reglamento de Protección Ambiental e Imagen Urbana de Monterrey.,109,
205,•El plano del inmueble deberá contar con el antefirma de la Secretaría de Desarrollo Urbano y Ecología o documento que demuestre el antecedente del uso de suelo,el plano del inmueble deberá contar con el antefirma de la secretaría de desarrollo urbano y ecología o documento que demuestre el antecedente del uso de suelo,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
206,• Deberá contar con el pago del impuesto predial del año en curso.,deberá contar con el pago del impuesto predial del año en curso.,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
207,• La Dirección de Protección Civil realizara una revisión al programa para validar que no se encuentren desviaciones.,la dirección de protección civil realizara una revisión al programa para validar que no se encuentren desviaciones.,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
208,• Presentar la documentación completa.,presentar la documentación completa.,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
209,El predio no debe de presentar adeudos en el pago del impuesto predia,el predio no debe de presentar adeudos en el pago del impuesto predia,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,XXVI
210,"La superficie no debe exceder a los 1,500 metros de construcción","la superficie no debe exceder a los 1,500 metros de construcción",Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,XXVI
211,Presentar la documentación completa.,presentar la documentación completa.,Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
212,"Se realizará una inspección por el personal de la Dirección de Protección Civil a los juegos mecánicos o instalaciones de los circos, para validar el correcto funcionamiento y cumplimiento de las medidas de seguridad.","se realizará una inspección por el personal de la dirección de protección civil a los juegos mecánicos o instalaciones de los circos, para validar el correcto funcionamiento y cumplimiento de las medidas de seguridad.",Municipal,Reglamento,Reglamento de Protección Civil de la Ciudad de Monterrey.,12,
213,"Contar con personal adscrito a la Dirección de Tránsito, que permita brindar el servicio, atendiendo a la carga laboral existente y disponibilidad de unidad de traslado.","contar con personal adscrito a la dirección de tránsito, que permita brindar el servicio, atendiendo a la carga laboral existente y disponibilidad de unidad de traslado.",Municipal,Reglamento,Reglamento de Tránsito y Vialidad del Municipio de Monterrey,124 BIS 1,
214,•Cubrir el monto de la multa;,cubrir el monto de la multa,Municipal,Reglamento,Reglamento de Tránsito y Vialidad del Municipio de Monterrey,166,"II, b"
215,•Que haya transcurrido el tiempo de suspensión decretado.,que haya transcurrido el tiempo de suspensión decretado.,Municipal,Reglamento,Reglamento de Tránsito y Vialidad del Municipio de Monterrey,166,"II, b"
216,"• Comprobar el buen estado de salud de la niña, niño o adolescente.","comprobar el buen estado de salud de la niña, niño o adolescente.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
217,• Debe exista disponibilidad de cupo.,debe exista disponibilidad de cupo.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
218,• Haber presentado toda la documentación requerida.,haber presentado toda la documentación requerida.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
219,"• Madre, padre o tutor vivan o trabajen en la ciudad de Monterrey.","madre, padre o tutor vivan o trabajen en la ciudad de monterrey.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
220,"• Ser madre, padre o tutor trabajador o estar a punto de ingresar a trabajar.","ser madre, padre o tutor trabajador o estar a punto de ingresar a trabajar.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
221,• Comprobar el buen estado de salud de la niña o niño.,comprobar el buen estado de salud de la niña o niño.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
222,• Debe exista disponibilidad de cupo,debe exista disponibilidad de cupo,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
223,• Haber presentado toda la documentación requerida.,haber presentado toda la documentación requerida.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
224,"• Madre, padre o tutor vivan o trabajen en la ciudad de Monterrey.","madre, padre o tutor vivan o trabajen en la ciudad de monterrey.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
225,"• Ser madre, padre o tutor trabajador o estar a punto de ingresar a trabajar.","ser madre, padre o tutor trabajador o estar a punto de ingresar a trabajar.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,136,VIII
226,Debe cumplir con la vigencia mínima de 6 años para ex humar.,debe cumplir con la vigencia mínima de 6 años para ex humar.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,24,
227,• La programación de la exhumación queda sujeta a la capacidad de trabajo de cada panteón.,la programación de la exhumación queda sujeta a la capacidad de trabajo de cada panteón.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,24,VI
228,• Los restos se encuentren dentro de un panteón del municipio de Monterrey.,los restos se encuentren dentro de un panteón del municipio de monterrey.,Municipal,Reglamento,Reglamento de Panteones del Municipio de Monterrey.,24,
229,• El usuario (a) debe contar con valoración médica.,el usuario (a) debe contar con valoración médica.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,139,V
230,• El usuario (a) debe habitar en el municipio de Monterrey.,el usuario (a) debe habitar en el municipio de monterrey.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,139,V
