#,Nombre Requisito,Fed - Estatal - Municipal,Ley - reglamento,Nombre,Artículo,Fracción y/o Inciso
0,No aplica,No disponible,No aplica,No aplica,No aplica,No aplica
280,Escrito libre de petición dirigido al Director de la Dirección General para un Desarrollo Verde.,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
281,Formato de solicitud.,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
282,Identificación oficial vigente.,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
283,Pago anterior del refrendo.,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
284,RFC.,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
285,Seguro de Protección de Responsabilidad civil vigente (en su caso).,Municipal,Reglamento,Reglamento de Anuncios de la Ciudad de Monterrey,44,No aplica
286,Carta Poder simple –para gestión /Carta Poder notariada – en caso de firmar por el propietario.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
287,Croquis de levantamiento de números oficiales colindantes (3 de cada lado y 5 de enfrente) firmado por el propietario.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
288,"Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible, NO imagen de Google Maps).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
289,"Documentos en formato digital (CD) (Al momento de obtener el visto bueno de toda la documentación, se deberá escanear dichos documentos originales en un CD para su folio de ingreso).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
290,"Escrito dirigido a la Secretaría de Desarrollo Urbano sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (firmada por el propietario y/o representante legal).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
291,Identificación oficial de Propietario y/o Titular según corresponda.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
292,Solicitud oficial correspondiente (firmada por el propietario y/o representante legal).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",315,l
293,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada según sea el caso, de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
294,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado)(copia simple o copia certificada según sea el caso, de cada documento) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
295,"Antecedentes de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso acuerdo y carátula).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
296,"Comprobante de domicilio para recibir notificaciones, preferentemente en el municipio de Monterrey.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
297,Comprobante del pago del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
298,Pago de derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
299,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía, Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía y Carta Poder simple.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
300,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,No aplica
301,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
302,Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
303,"Antecedentes de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso acuerdo y carátula).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
304,"Antecedentes de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso acuerdo y carátula).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
305,Carta Poder simple –para gestión /Carta Poder notariada – en caso de firmar por el propietario.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
306,Carta Responsiva y copia de cedula profesional del Director Responsable de la Obra y/o de cada uno de los Asesores del estudio correspondiente (debidamente firmado).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
307,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
308,"Comprobante de domicilio para oír y recibir notificaciones, preferentemente en el municipio de Monterrey.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
309,Comprobante del pago del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
310,Cuatro (4) Fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible) (NO imagen de google maps).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
311,"Documentos en formato digital (CD) (Al momento de obtener el visto bueno de toda la documentación, se deberá escanear dichos documentos originales en un CD para su folio de ingreso).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
312,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
313,Identificación oficial de Propietario y/o Titular según corresponda.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
314,Pago de los derechos correspondientes.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
315,Póliza de Seguro de Responsabilidad Civil (según sea el caso).,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
316,"Si el propietario es fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones (copia simple de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
317,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía (copia para cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
318,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo (copia simple o copia certificada según sea el caso para cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
319,Solicitud oficial correspondiente (firmada por el propietario y/o representante legal) y Director Responsable de la Obra.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
320,"Visto bueno en materia de Protección civil o Patronato de Bomberos (Municipal o Estatal según corresponda) (3b, 4a 4b, 4c).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,No aplica
321,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada, según sea el caso de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
322,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones ( copia simple o copia certificada, según sea el caso de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
323,"Antecedente de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso de acuerdo y carátula).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
324,Carta poder simple.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
325,Carta Responsiva y copia de cedula profesional del Director Responsable de la Obra y/o de cada uno de los Asesores del estudio elaborado correspondiente.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
326,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
327,"Comprobante de domicilio para oír y recibir notificaciones, preferentemente en el municipio de Monterrey.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
328,Comprobante del pago del impuesto predial al corriente.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
329,"Cuatro (4) Fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible, no imagen de google maps).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
330,Documentos y plano (s) en formato digital (CD).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
331,"En su caso, visto bueno del INAH, INBA, Barrio Antiguo y/o de la junta de Protección y Conservación del Paseo Santa Lucía.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
332,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
333,Pago de los derechos correspondientes.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
334,Plano de proyecto del predio en formato oficial y debidamente firmado en original por el propietario o poseedor del predio (elaborado de acuerdo al contenido y forma del mismo; así como debidamente firmado en original por el propietario y en su caso por el Director Responsable de Obra).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
335,Secuencia de demolición (programa con tiempos de obra).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
336,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía y Carta Poder simple.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
337,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
338,Solicitud oficial correspondiente (firmada por el propietario y/o representante legal y director responsable de la obra).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
339,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada, según sea el caso, de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
340,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) (copia simple de cada documento) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
341,"Antecedente de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso de acuerdo y carátula).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
342,Carta Poder simple.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
343,Carta Responsiva del Director Responsable de Obra y/o de cada uno de los Asesores del estudio elaborado correspondiente y firmada.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
344,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
345,"Comprobante de domicilio para oír y recibir notificaciones, preferentemente en el municipio de Monterrey.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
346,Comprobante del pago del impuesto predial al corriente.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
347,"Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible, no imagen de google maps).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
348,"Documentos en formato digital (CD) (Al momento de obtener el visto bueno de toda la documentación, se deberá escanear dichos documentos originales en un CD para su folio de ingreso).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
349,"En su caso, visto bueno del INAH, INBA, Barrio Antiguo y/o de la junta de Protección y Conservación del Paseo Santa Lucía (según su caso).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
350,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
351,Pago de los derechos correspondientes.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
352,Póliza de Seguro de Responsabilidad Civil firmada por el propietario.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
353,Secuencia de demolición (programa con tiempos de obra) y rubricado.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
354,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
355,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
356,Solicitud oficial correspondiente (firmada por el propietario y/o representante legal) y Director Responsable de la Obra.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
357,Visto Bueno en materia de Protección Civil o Patronato de Bomberos (Municipal o Estatal según corresponda).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
358,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada, según sea el caso, de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
359,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones(copia simple de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
360,"Antecedente de autorizaciones o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso de acuerdo y carátula).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
361,Carta Responsiva del Director Responsable de Obra y/o de cada uno de los Asesores del estudio elaborado correspondiente (debidamente firmado).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
362,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
363,Comprobante de domicilio para oír y recibir notificaciones dentro del área metropolitana.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
364,Comprobante del pago del impuesto predial al corriente.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
365,"Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego en original a color legible, NO imagen de google maps).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
366,"Documentos en formato digital (CD) (Al momento de obtener el visto bueno de toda la documentación, se deberá escanear dichos documentos originales en un CD para su folio de ingreso).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
367,"En su caso, visto bueno del INAH, INBA, Barrio Antiguo y/o de la junta de Protección y Conservación del Paseo Santa Lucía.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
368,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
369,Pago de los derechos correspondientes.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
370,Póliza de Seguro de Responsabilidad Civil (firmada por el propietario).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
371,"Secuencia de demolición, rubricado (programa con tiempos de obra).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
372,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía y Carta Poder simple.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
373,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
374,Solicitud oficial correspondiente (firmada por el propietario y/o Representante Legal) y Director Responsable de la Obra.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
375,"Acreditar el interés que le asiste, y en caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada, según sea el caso de cada documento).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
376,"Acreditar la propiedad o posesión del predio (el o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) (copia simple de cada documento) Si el propietario del predio es una fiduciaria, se debe requerir contrato de fideicomiso y todas sus modificaciones.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
377,Carta poder simple.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
378,"Carta Responsiva del Director Responsable de Obra y/o de cada uno de los Asesores del estudio elaborado correspondiente, debidamente firmado).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
379,"Cédula Profesional del Director Responsable de Obra, y/o de cada uno de los Asesores del estudio elaborado correspondientemente.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
380,"Comprobante de domicilio para oír y recibir notificaciones, preferentemente en el municipio de Monterrey.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
381,Comprobante del pago del impuesto predial al corriente.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
382,Cuatro (4) Fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio (1 juego original a color legible y NO imagen de google maps).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
383,Documentos y plano (s) en formato digital (CD).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
384,"En su caso, visto bueno del INAH, INBA, Barrio Antiguo y/o de la junta de Protección y Conservación del Paseo Santa Lucía.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
385,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o Representante legal).",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
386,Pago de los derechos correspondientes.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
387,Póliza de Seguro de Responsabilidad Civil y firmada por el propietario.,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
388,Secuencia de demolición (programa con tiempos de obra) (rubricado).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
389,"Si es persona física: identificación oficial del (o los) propietario (s) con firma y fotografía), Identificación oficial del (o los) gestor (es) y/o apoderado (s) con firma y fotografía.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
390,"Si es persona moral: Acta constitutiva y demás modificaciones a sus estatutos sociales El acta deberá estar inscrita en el Registro Público de la Propiedad y del Comercio, poder notariado del apoderado de la persona moral e identificación oficial del mismo.",Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
391,Solicitud oficial correspondiente (firmada por el propietario y/o representante legal) y Director Responsable de la Obra (según sea el caso).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
392,Visto bueno en materia de protección civil o Patronato de Bomberos (Municipal o Estatal según corresponda).,Municipal,Reglamento,"Reglamento para las Construcciones del Municipio de Monterrey, Nuevo León.",91,No aplica
393,"Acreditar el interés que le asiste, y en el caso de representación contar con poder suficiente para tal efecto (copia simple o copia certificada, según sea el caso de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
394,"Acreditar la propiedad o posesión del predio (El o los documentos deberán estar inscritos en el Registro Público de la Propiedad o en el Instituto Registral y Catastral del Estado) Si es persona moral, traer acta constitutiva y demás modificaciones a sus estatus sociales (copia simple de cada documento).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
395,"Al momento de obtener el visto bueno de toda la documentación, se deberá presentar toda la papelería en original y escaneada en un CD para su folio de ingreso Se deberá presentar los documentos en formato digital (CD).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
396,"Antecedentes de autorización o licencias otorgadas respecto al predio en cuestión, los cuales deberán estar inscritos en el Instituto Registral y Catastral del Estado de Nuevo León (La autorización anterior está comprendida por planos, y en su caso acuerdo y carátula).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
397,Carta poder simple.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
398,"Comprobante de domicilio para recibir notificaciones, preferentemente en el municipio de Monterrey.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
399,Comprobante del pago del impuesto predial al corriente.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
400,Cuatro (4) fotografías exteriores y cuatro (4) fotografías interiores actualizadas del predio.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
401,"Escrito dirigido a la Secretaría de Desarrollo Urbano Sostenible donde indique el trámite a solicitar, la fecha de solicitud y los documentos presentados (Firmada por el propietario y/o representante legal).",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",311,l
